selling_price,bedrooms_num,bathroom_num,housing_area,parking_area,floor_num,housing_rating,built_area,basement_area,year_built,year_repair,latitude,longitude,sale_data
545000.0,3.0,2.25,1670.0,6240.0,1.0,8.0,1240.0,430.0,1974,0,47.6413,-122.113,20200302
785000.0,4.0,2.5,3300.0,10514.0,2.0,10.0,3300.0,0.0,1984,0,47.6323,-122.036,20200211
765000.0,3.0,3.25,3190.0,5283.0,2.0,9.0,3190.0,0.0,2007,0,47.5534,-122.002,20200107
720000.0,5.0,2.5,2900.0,9525.0,2.0,9.0,2900.0,0.0,1989,0,47.5442,-122.138,20191103
449500.0,5.0,2.75,2040.0,7488.0,1.0,7.0,1200.0,840.0,1969,0,47.7289,-122.172,20190603
248500.0,2.0,1.0,780.0,10064.0,1.0,7.0,780.0,0.0,1958,0,47.4913,-122.318,20200506
675000.0,4.0,2.5,1770.0,9858.0,1.0,8.0,1770.0,0.0,1971,0,47.7382,-122.287,20200305
730000.0,2.0,2.25,2130.0,4920.0,1.5,7.0,1530.0,600.0,1941,0,47.573,-122.409,20190701
311000.0,2.0,1.0,860.0,3300.0,1.0,6.0,860.0,0.0,1903,0,47.5496,-122.279,20190807
660000.0,2.0,1.0,960.0,6263.0,1.0,6.0,960.0,0.0,1942,0,47.6646,-122.202,20191204
435000.0,2.0,1.0,990.0,5643.0,1.0,7.0,870.0,120.0,1947,0,47.6802,-122.298,20200227
350000.0,3.0,1.0,1240.0,10800.0,1.0,7.0,1240.0,0.0,1959,0,47.5233,-122.185,20190904
385000.0,3.0,2.25,1630.0,1598.0,3.0,8.0,1630.0,0.0,2008,0,47.6904,-122.347,20190902
235000.0,2.0,1.0,930.0,10505.0,1.0,6.0,930.0,0.0,1930,0,47.4337,-122.329,20200413
350000.0,3.0,1.0,1300.0,10236.0,1.0,6.0,1300.0,0.0,1971,0,47.5028,-121.77,20190930
1350000.0,4.0,1.75,2000.0,3728.0,1.5,9.0,1820.0,180.0,1926,0,47.643,-122.299,20200507
459900.0,3.0,1.75,2580.0,11000.0,1.0,7.0,1290.0,1290.0,1951,0,47.5646,-122.181,20190530
430000.0,6.0,3.0,2630.0,8800.0,1.0,7.0,1610.0,1020.0,1959,0,47.7166,-122.293,20190723
718000.0,5.0,2.75,2930.0,7663.0,2.0,9.0,2930.0,0.0,2013,0,47.5308,-122.184,20191003
220000.0,4.0,1.0,1440.0,8250.0,1.0,7.0,1440.0,0.0,1959,0,47.4325,-122.291,20191215
1500000.0,4.0,3.25,3470.0,5222.0,2.0,10.0,2830.0,640.0,2005,0,47.6845,-122.209,20200421
140000.0,3.0,1.5,1200.0,2002.0,2.0,8.0,1200.0,0.0,1966,0,47.4659,-122.189,20191126
200000.0,4.0,2.5,1720.0,8638.0,2.0,8.0,1720.0,0.0,1994,0,47.2704,-122.313,20200115
475000.0,4.0,1.75,1650.0,7775.0,1.0,7.0,1150.0,500.0,1950,0,47.715,-122.354,20190520
179000.0,3.0,1.0,920.0,5200.0,1.0,6.0,920.0,0.0,1969,0,47.3603,-122.085,20190813
400000.0,3.0,2.5,1460.0,1319.0,3.0,8.0,1460.0,0.0,2002,0,47.698,-122.349,20200227
348125.0,3.0,1.0,1400.0,8451.0,1.5,7.0,1400.0,0.0,1953,0,47.7719,-122.337,20200217
